isolate,organism,country,specimen_voucher,note,organelle,mol_type
PYR330,Sorbus tamamschjanae,,,Barcode:BG Berlin 144-07-91-10;Tax. Authority: Gabrieljan,plastid:chloroplast,genomic DNA
PYR331,Cotoneaster dielsianus,,B:Gartenherbar 22261a,Barcode:BG Berlin 182-77-74-80;Tax. Authority: E.Pritz. ex Diels,plastid:chloroplast,genomic DNA
PYR114,Pyrus argyrophylla,Armenia,"B,ERE:Ter-Voskanyan & Akopian M12-24",Tax. Authority: Diap.,plastid:chloroplast,genomic DNA
PYR285,Pyrus betulifolia,China,B:Gartenherbar 49128,Barcode:BG Berlin 095-13-81-70;Tax. Authority: Bunge,plastid:chloroplast,genomic DNA
PYR283,Pyrus boisseriana,,,Barcode:BG Berlin 185-29-74-80;Tax. Authority: Buhse,plastid:chloroplast,genomic DNA
PYR280,Pyrus bretschneideri,,,Barcode:BG Berlin 185-30-74-80;Tax. Authority: Rehder,plastid:chloroplast,genomic DNA
PYR297,Pyrus calleryana var. lanceolata,,B:Gartenherbar 49125,Barcode:BG Berlin 185-34-74-80;Tax. Authority: Rehder,plastid:chloroplast,genomic DNA
PYR300,Pyrus calleryana,,B:Gartenherbar 49131,Barcode:BG Berlin 185-35-74-80;Tax. Authority: Decne.,plastid:chloroplast,genomic DNA
PYR131,Pyrus caucasica,Armenia,"B,ERE:Ter-Voskanyan & Akopian M12-41",Tax. Authority: Fed.,plastid:chloroplast,genomic DNA
PYR251,Pyrus caucasica,Armenia,"B,ERE:Ter-Voskanyan, Sargsyan, Korotkova M12-165",Tax. Authority: Fed.,plastid:chloroplast,genomic DNA
PYR050,Pyrus caucasica,Armenia,"B,ERE:Ter-Voskanyan M11-59",Tax. Authority: Fed.,plastid:chloroplast,genomic DNA
PYR255,Pyrus cf. hyrcana,Armenia,"B,ERE:Ter-Voskanyan & Gasparyan M12-169",,plastid:chloroplast,genomic DNA
PYR219,Pyrus chosrovica,Armenia,"B,ERE:Ter-Voskanyan, Fayvush, Oganesian, Gasparyan, Korotkova M12-132",Tax. Authority: Gladkova,plastid:chloroplast,genomic DNA
